Attribute count,Role,Background,Facetats,Eyes,Eyes Items,Form,Hats,Mouth,Hair,Neck,Hand with Items,Upper Part,Random Things,Ears,Nose,Genesis Role?,Companions,Beard,Coats,Bg Feature,mint,rank
12,Artist,Violet,Solana,Angry,Gold Monocle,Choc Brown,None,Biting,Long Wavy Chocbrown,Hippie Necklace,Joint Chocbrown Fur,Banana Shirt,None,Golden Earring,None,None,None,None,None,None,EvV1DqPhVyKLcF4uh4MfK5m96Z6MFbzEtnE6Jjx8QVFV,2462
11,Businessman,Lightbrown,None,Blue,Red John Lennon Glasses,Rainbow,Beige Flat Cap,Puffin,Smooth Long Rainbow,None,None,White Hodl Tee,None,None,None,None,Happy Weedy,Full Light Beard,None,None,J4oPG5qmmhs5jrwppoqHWy7UKJsAiVG1xTKnGvqWvKTU,2463
9,Artist,Space 3,None,Red,None,Red Gradient,None,Smoking Joint,Smooth Long Red,None,Graffiti Spray Can Blue Top Red Fur,Pink Canna Jacket,None,None,None,Yes,None,None,None,None,7k4Si1Qvr93dXYQqPrvfYgfBKxFfkw7DXU3CAna3ZcqY,2464
10,Chimpion,Lightbrown,None,Red,None,Light Blonde,Solana Headphones,Grinding,Long Wavy Light Blonde,None,Brownie Light Blonde Fur,Sac Shirt,Questionmark,None,None,None,None,None,None,None,9FW5sKBfEj4gcVeYovi9A5XAdY4NjggP28LrMGXLibRt,2465
12,Scientist,Lightbrown,Solana,Blue,Big Solana Glasses,Light Brown,Blue Beret,Sad,None,None,Grey Controller Light Brown Fur,Lab Coat Jamaica Tie Suit,Sciece Bong,None,None,Yes,None,None,None,None,CVPNoM5yTtvemNpgLtETetf3XyMdeAqw3D24jQPX6dBc,2466
13,Artist,Blue,None,Angry,Flashing Eyes,White,Green Beret,Gentle Smile,Smooth Long White,None,Brownie White Fur,Sac Shirt,Abstract Canvas,None,Nose Piercing,Yes,None,None,None,None,2voT6b82581yJEusoSNEKukunX627wx68cDfoFWKe53Y,2467
11,Artist,Violet,None,Red,None,White,Green Beret,Grinding,Long Wavy White,None,Graffiti Spray Can Red Top White Fur,Sac Shirt,None,None,Nose Piercing,Yes,None,None,None,None,H4DdXMj1Gj9g8JmTvk8Dwkk29Na6D5Fv8Gk1ZU9yNaPQ,2468
12,Scientist,Solana,None,Blue,Green-orange Glasses,Choc Brown,Pothat,Puffin,Long Wavy Chocbrown,None,Pink Donut Chocbrown Fur,Lab Coat Jamaica Tee,None,Double Piercing,None,Yes,None,None,None,None,BCW6c2ixhsx1bVJunXpyAKsdT3Kg1Zg8zvNeAy434rth,2469
9,Chimpion,Darkblue Gradient,None,Awake Black,None,Dark Blonde,Batiklila Hippie Hairband,Puffin,Facon Style Dark Blonde,None,None,Sac Shirt,Questionmark,None,None,None,None,None,None,None,CTrDx8FNeVhR62eyN4qsmVtriAnUpq32TQvyRB7gukT2,2470
13,Artist,Lightbrown,None,Red,None,Rainbow,Green Beret,Eating Pizza,Smooth Long Rainbow,Hippie Necklace,Graffiti Spray Can Red Top Rainbow Fur,Pink Canna Jacket,Questionmark,Double Piercing,None,Yes,None,None,None,None,FaadaZjWqS2SSBggibNJKavoFfXdwicvenrxsc9Y5RH1,2471
11,Scientist,Glass Pastel,None,Angry,Gold Monocle,Red Gradient,None,Rainbow Teeth,None,Hippie Necklace,Grey Controller Red Fur,Blue Weed Shirt,Questionmark,None,None,None,Happy Weedy,None,None,None,4fvqfrxR9VqmQRzeausGhbu4No3axtcQBdXEke2AAkhH,2472
10,Chimpion,Hippie 3,None,Black,Green Hipster Glasses,White,None,Gentle Smile,Backstreetboy Style White,None,Brownie & Joint White Fur,Red Puff Puff Hoodie,Questionmark,None,None,None,None,None,None,None,4wyvbVKXPrrSKB1eV657c6Wfme3XC49sFLLWUws1Rv5R,2473
8,Farmer,Space 4,None,Red,None,Dark Blonde,None,Grinding,Yellow Beanie Dark Blonde Fur,Hippie Necklace,None,420 Da Vinci Tee,None,None,None,None,None,None,None,None,5jKmiBreF7e15ZB5vRKTPuwi6vWaisPuZCPPCyQA6Zzn,2474
10,Chimpion,Matrix,None,Sad,Gold Monocle,Dark Blonde,None,Biting,Blue Beanie Dark Blonde Fur,Hippie Necklace,None,Pink Canna Jacket,Questionmark,None,None,None,None,None,None,None,7PNQLFNJReadzaMQxJn41Ro8DTRu7GfEwuHbCrkucGu7,2475
8,Farmer,Glass Pastel,None,Blue,None,Light Brown,None,Mask Brown,Long Wavy Light Brown,None,Grey Controller Light Brown Fur,Hawaiian Shirt,None,None,None,None,None,None,None,None,Dppvc4JACXweDkewSdbYvfFvZ8F6LS7g8VmSFEEWWU2H,2476
10,Scientist,Lightbrown,None,Black,Robo Eyes,Choc Brown,None,Grinding,Backstreetboy Style Chocbrown,None,Pink Donut Chocbrown Fur,Lab Coat Solana Tie Suit,None,None,None,Yes,None,None,None,None,EFtrkhZSXEBGnrwync6ApHogxc6a5iz3PfZdti5UChyv,2477
9,Businessman,Light Solana Gradient,Always Stoned,Awake Green,None,Light Brown,None,Money Joint,Backstreetboy Style Light Brown,None,Brownie Light Brown Fur,Red Puff Puff Hoodie,None,None,None,None,None,None,None,None,61B6mTigVBf9QjpGU883ZpT1c9xDMJ9Grc6Lg68Ltrng,2478
12,Artist,Green Smoke,Tiny Sac,Awake Green,None,Light Blonde,Solana Headphones,Gentle Smile,None,Weed Chain,Graffiti Spray Can Blue Top Light Blonde Fur,Green Funky Tee,Questionmark,None,None,Yes,None,None,None,None,FoqqgNw7sMZsNzZLeXuCpJSX6Gb15yqZnkxGCXoBoLDa,2479
12,Businessman,Violet,None,Awake Green,None,Choc Brown,Beige Flat Cap,Gentle Smile,Smooth Long Chocbrown,Necklace,None,Blue Puff Puff Hoodie,Questionmark,Golden Earring,None,None,Weedy With Glasses,None,None,None,8Afy7hYyjns9txh8ikd4fiQbJX6FCpYPY17LpYpotfN1,2480
10,Artist,Glass Pastel,None,Blue,None,Dark Blonde,None,Laughing,Yellow Beanie Dark Blonde Fur,Weed Chain,None,Yellow Poloshirt With Color Splashes,None,Double Piercing,None,Yes,None,None,None,None,332MHzw7tdXXnJ1BNigUdZkov2CJexZtaG3mV3d9Dd8B,2481
9,Scientist,Light Solana Gradient,None,Black,Big Solana Glasses,Choc Brown,None,Rainbow Teeth,Backstreetboy Style Chocbrown,None,None,Lab Coat Atom Tie Suit,None,None,None,Yes,None,None,None,None,3o5Ndxbd1RnFssBaHurfEX3KvMcaeozvCWGZwWmie3nJ,2482
10,Chimpion,Blue,None,Angry,None,Rainbow,Green Beret,Trifecta Joint,Long Wavy Rainbow,None,Brownie Rainbow Fur,Violet Canna Jacket,None,None,Nose Piercing,None,None,None,None,None,CkWBGhMVeLq5eQQhjEBvyHtU68CkTxZtNf9uixjKkq63,2483
10,Chimpion,Light Solana Gradient,Solana,Awake Green,420 Googles,White,None,Laughing,Backstreetboy Style White,None,Pink Donut White Fur,Banana Shirt,None,None,None,None,None,None,None,None,Cgpj4URoUCHQGuZZontxY1cpxRShsz5BxDZ96Mdmrxgo,2484
11,Businessman,Brown Plain,Always Stoned,Angry,None,Rainbow,None,Biting,Smooth Long Rainbow,None,Metal Controller Rainbow Fur,Black Business Suit With Bow Tie & Hat,None,Golden Earring,None,Yes,None,None,None,None,5x5616JA7EPkH894xCmHQtRBGs469tbUL81WvEu7KMCv,2485
9,Chimpion,Glass Pastel,None,Red,Flashing Eyes,White,None,Smoking Joint,Smooth Long White,None,Brownie & Joint White Fur,Samo Hoodie,None,None,None,None,None,None,None,None,6evoAQpKKPyH82MqRWEF2ZPQJwrPLkWjQqGJyjqscpon,2486
13,Chimpion,Blue,Solana,Awake Black,None,Light Brown,Blue Beret,Puffin,Smooth Long Light Brown,Hippie Necklace,Grey Controller Light Brown Fur,Just Smoke It Tee,Questionmark,None,Nose Piercing,None,None,None,None,None,FUgct9vkcSASqhwnFnyBDW4AM2VJgf333CwrZuyuxErU,2487
11,Farmer,Space 3,None,Red,None,Light Brown,Dark Grey Headphones,Rainbow Teeth,Smooth Long Light Brown,None,Farmer Scissors Light Brown Fur,Pink Canna Jacket,Cannabis Plant,None,None,Yes,None,None,None,None,55QiengbgcTKXHiiLsCTktycxxCtw3WPkSfJaSyweNXr,2488
12,Chimpion,Lights,Always Stoned,Red,Green-orange Glasses,Rainbow,Pothat,Biting,Long Wavy Rainbow,None,Poker Cards Rainbow Fur,Green Poloshirt,Questionmark,None,None,None,None,None,None,None,9BXkRByE1jAXmhzkihvX2QnPmpWGc9tpYq9hd6UwHM9j,2489
10,Businessman,Space 1,None,Blue,None,Light Brown,None,Puffin,Yellow Beanie Light Brown Fur,Hippie Necklace,Brownie Light Brown Fur,420 Da Vinci Tee,None,Golden Earring,None,None,None,None,None,None,Cmn6F9SSaJsNg8E53at2qYoHFeQJWG4nFcZi9FRSdgwo,2490
11,Farmer,Green Smoke,None,Angry,Green Hipster Glasses,White,None,Smoking Joint,None,Weed Chain,Brownie & Joint White Fur,Red Puff Puff Hoodie,Cannabis Plant,None,None,Yes,None,None,None,None,DUUY4yYP8KWRnkNnqmJKyxUwdC1mh9WsSjtbNvdAmZnd,2491
10,Chimpion,Brown Plain,None,Awake Green,None,Light Brown,Red Beret,Puffin,Long Wavy Light Brown,None,Pink Donut Light Brown Fur,Red Puff Puff Hoodie,None,Leaf Behind Ear,None,None,None,None,None,None,7Jwje8Hse1uf7yeDBfuNZkrHfRjfcq7VLcL7p8HwtFoj,2492
8,Chimpion,Space 3,None,Red,None,Red Gradient,None,Eating Pizza,Red Beanie,None,Grey Controller Red Fur,Blue Puff Puff Hoodie,None,None,None,None,None,None,None,None,48vqasoaQXTv1fj9AVnxsUk9YHCQCkt412CmaBXhzoLL,2493
9,Artist,Matrix,None,Sad,None,White,None,Puffin,Long Wavy White,None,Graffiti Spray Can Red Top White Fur,Sac Shirt,None,None,None,Yes,None,None,None,None,FKMtuEzYLakJJDVNukgBufWS3FZdPPqGt3wSvAGqWbEH,2494
9,Businessman,Space 4,None,Angry,None,Light Blonde,None,Gold Teeth,Blue Beanie Light Blonde Fur,None,None,Beige Business Suit With Tie,Pin On Suit,None,None,Yes,None,None,None,None,FokTLhiFDuXyQEuDeGc6gdhgTcys4UCxMitNhmuzG2s,2495
9,Artist,Space 4,None,Angry,None,Rainbow,None,Eating Pizza,Smooth Long Rainbow,None,Graffiti Spray Can Red Top Rainbow Fur,Violet Canna Jacket,None,None,None,Yes,None,None,None,None,9q9b5jtnpxXiYS9J9g6yUxgGKZzUqZmwnZGixNEEEJ9W,2496
10,Scientist,Violet,None,Red,Tear,Light Brown,None,Money Joint,Blue Beanie Light Brown Fur,None,Pink Donut Light Brown Fur,Yellow Poloshirt,None,Golden Earring,None,None,None,None,None,None,BVarXNo9BmpEq3LopUbUoDnFS4X2KFvSKjxPdW8VrVqE,2497
13,Scientist,Blue Gradient,None,Angry,Big Solana Glasses,White,None,Laughing,Backstreetboy Style White,Hippie Necklace,Joint White Fur,Lab Coat Weed Tie Suit,None,None,Nose Piercing,Yes,None,Full Light Beard,None,None,EBEv5d9d27VKMBKWCJsQ2yQD6bS6o5PuAcWvVK9oYfcS,2498
10,Businessman,Hippie 3,None,Blue,420 Googles,Light Blonde,Red Beret,Open,Long Wavy Light Blonde,None,Joint Light Blonde Fur,Blue Legalize Hoodie,None,None,None,None,None,None,None,None,HDBVdYzYeiMUjLzAcDEG1QPMD3dLbrWoMRP6f7yzvs2z,2499
8,Chimpion,Glass Pastel,None,Angry,None,Light Blonde,None,Laughing,Smooth Long Light Blonde,None,Green Donut Light Blonde Fur,Just Smoke It Tee,None,None,None,None,None,None,None,None,8nS4xRT7k4pj8M66XhEEfzf1Wun9pdCSwY3MkJ57tAfA,2500
11,Chimpion,Blue,None,Red,None,Light Brown,Green Flat Cap,Puffin,Smooth Long Light Brown,Hippie Necklace,Grey Controller Light Brown Fur,Brown Hippie Top,Questionmark,None,None,None,None,None,None,None,BXwgFZwbvpRDbXB1zrWoUVdLz2P2tn4zwQvGTTKwbPMa,2501
11,Chimpion,Glass Pastel,Always Stoned,Red,None,Light Brown,None,Rolled Joint,Red Beanie Light Brown Fur,Necklace,Brownie Light Brown Fur,Blue Puff Puff Hoodie,Flamingo Bong,None,None,None,None,None,None,None,D1tdbCsjwuGjot9CMJsi6FV3fh61NpmmGdkJfeg9yi2C,2502
9,Scientist,Glass Pastel,None,Blue,None,White,None,Gold Teeth,Long Wavy White,None,Joint White Fur,Lab Coat Darkgreen Tee,None,None,None,Yes,None,None,None,None,F2ri9aKRrP86Wc8e7Ad3x6uEWfoH6sb9ur9NUDMe1m7a,2503
10,Farmer,Yellow,None,Awake Green,Red Weed Glasses,Dark Blonde,Brown Flat Cap,Open,Smooth Long Dark Blonde,None,None,Blue Hodl Hoodie,Questionmark,None,None,None,None,None,None,None,5qThQyjAKWvyhVxWqPPTSnqd3phZsw31PxP2Z8sdxzzJ,2504
11,Businessman,Glass Pastel,None,Red,None,Red Gradient,Banana Hairband,Open,Facon Style Red,Hippie Necklace,None,Sac Shirt,Questionmark,Double Piercing,None,None,None,None,None,None,BnjKR2UuvKJ7zfr5Fu4WEHZ2FY3THrp12PF33UBa8rkM,2505
10,Chimpion,Blue,None,Blue,None,Light Brown,None,Laughing,Yellow Beanie Light Brown Fur,None,Metal Controller Light Brown Fur,Blue Weed Shirt,Questionmark,None,Nose Piercing,None,None,None,None,None,Fwe1fV5FuKyijZzUtdijbjd9T7wa3n8zXXJu5SCRsvfa,2506
9,Chimpion,Space 3,None,Red,Tear,White,None,Grinding,Backstreetboy Style White,None,Banana Pipe White Fur,Blue Hodl Hoodie,None,None,None,None,None,None,None,None,9TJ1D32DUkCg316ewfFbzbuabBuXwnoPLVJw9EgD8qjr,2507
11,Chimpion,Light Solana Gradient,None,Awake Black,Laser Eyes,Light Blonde,Blue Beret,Banana Joint,Long Wavy Light Blonde,None,Grey Controller Light Blonde Fur,Sac Shirt,Questionmark,None,None,None,None,None,None,None,DRr2zGSpnfvRmNZq5BJqrYu65xoYnNPEnqoMrmmjeKvT,2508
9,Chimpion,Darkblue Gradient,None,Blue,Red John Lennon Glasses,Red Gradient,None,Puffin,Blue Beanie Red Fur,None,None,Pink Canna Jacket,Questionmark,None,None,None,None,None,None,None,DgcsAgvYp5SEZhviRwkt19unyNzGcSsRu12u7L9gZbc8,2509
13,Artist,Violet,None,Angry,Green Glasses,Light Brown,None,Grinding,Long Wavy Light Brown,Hippie Necklace,Brownie Light Brown Fur,Pink Canna Jacket,Abstract Canvas,None,None,Yes,Serious Weedy,None,None,None,3qxao393SZkBy2bKFDkZbJ3HsESNhNxczs8tuqZEyZZD,2510
12,Scientist,Blue,Tiny Sac,Red,None,Choc Brown,Blue Beret,Rainbow Teeth,Smooth Long Chocbrown,None,Pink Donut Chocbrown Fur,Green Poloshirt,Questionmark,Leaf Behind Ear,None,None,None,None,None,None,427MXi2MAJ64vJQLDTCfm7U5bfuYPkeJf1UT1pDYVfHi,2511
12,Businessman,Lightpink,None,Black,None,Light Brown,Green Beret,Sad,Smooth Long Light Brown,Hippie Necklace,Brownie Light Brown Fur,Business Suit With Red Tie,None,None,None,Yes,Blue Parrot,None,None,None,5U8b9mvyd6KvEY1bTAsn1RnEFAvW6m4D3H9GP1CrCMCg,2512
10,Chimpion,Brown Plain,None,Red,None,Light Blonde,Green Beret,Rainbow Teeth,Long Wavy Light Blonde,Weed Chain,Brownie Light Blonde Fur,Green Poloshirt,None,None,None,None,None,None,None,None,CyeJSRZKEgCBN24YcX9ZCP1ACtBQCQitYhkWyXTNZCZU,2513
11,Businessman,Lightpink,None,Black,None,Light Brown,None,Angry Mouth,Yellow Beanie Light Brown Fur,Hippie Necklace,Grey Controller Light Brown Fur,Business Suit With Red Tie,Pin On Suit,None,None,Yes,None,None,None,None,Do24X239K5FVka1JTrBTmvevaMALZecAd7dwhu9yuZFM,2514
11,Businessman,Blue,None,Blue,None,Light Blonde,Samo Hairband,Smoking Joint,Facon Style Light Blonde,None,Pink Donut Light Blonde Fur,Business Suit With Red Tie,None,Golden Earring,None,Yes,None,None,None,None,EhThLdRLHiPqVPG86UKffgGjrhWFQcRTLuB4DDfak8pU,2515
11,Farmer,Yellow,None,Blue,None,Red Gradient,Dark Grey Headphones,Money Joint,Smooth Long Red,None,Watering Can,Blue Puff Puff Hoodie,None,None,Nose Piercing,Yes,None,None,None,None,26dVXHLG2ZC1tc9TP37gYyzcrq4qQVRQhfULVnJgV4f3,2516
9,Businessman,Green Smoke,None,Angry,None,Dark Blonde,None,Money Joint,None,None,None,Brown Business Suit With Bow Tie & Hat,Pin On Suit,Golden Earring,None,Yes,None,None,None,None,6EoWF2XHHBfXvQiEvX3qiUcU8Mm3Fpx3KVXd2Qcrdgqg,2517
12,Businessman,Lightbrown,None,Red,420 Googles,Light Brown,Blue Beret,Grinding,Long Wavy Light Brown,None,Banana Pipe Light Brown Fur,Business Suit With Red Tie,None,None,None,Yes,Happy Weedy,None,None,None,2aqH4J7ZMX4vCqMwbYDnJr5d3oMe1mBWda2mt5gb6s24,2518
8,Artist,Space 1,None,Awake Black,Green John Lennon Glasses,Red Gradient,None,Puffin,Red Beanie,None,None,Pink Canna Jacket,None,None,None,None,None,None,None,None,4s6Bf8p3bzZWesw4ZienujHjxd3vv6YFnDRBGARhuKn4,2519
11,Chimpion,Space 2,None,Red,None,Light Brown,None,Open,Red Beanie Light Brown Fur,None,Grey Controller Light Brown Fur,Orange Poloshirt,Questionmark,Golden Earring,None,None,None,Full Light Beard,None,None,5YZunPAw292VayMSDzkDgdDqqjnprLnW95xYxypJooTX,2520
12,Artist,Violet,None,Angry,None,Red Gradient,Blue Beret,Sad,Smooth Long Red,None,Grey Controller Red Fur,Yellow Poloshirt,Questionmark,Golden Earring,None,None,Serious Weedy,None,None,None,8ENrGLwMUup8tqmm1yQPwbCozn7AbjMa46srMULbyDo1,2521
9,Chimpion,Yellow,None,Blue,Green-orange Glasses,Dark Blonde,Blue Astro Helmet,Eating Pizza,None,None,None,Yellow Poloshirt,Questionmark,None,None,None,None,None,None,None,3XogN1NWaTJVi7Bpnp82gpaDmKS6E4TpybKyU7tm8bNG,2522
11,Businessman,Darkblue Gradient,None,Blue,420 Googles,Dark Blonde,None,Money Joint,Smooth Long Dark Blonde,None,None,Samo Hoodie,None,Double Piercing,None,None,Happy Weedy,Full Light Beard,None,None,5TC3oSSkfQDH6BRNtQ9uB5z1PBMY8KuXgoAerhrW2wYG,2523
8,Chimpion,Space 4,None,Red,None,Light Brown,Grey Headphones,Rainbow Teeth,None,None,Metal Controller Light Brown Fur,Yellow Poloshirt,None,None,None,None,None,None,None,None,BdCNfXtn5U4dx8qZNmbVBzPc4TwPEaMDSV3nxQS5vqt9,2524
10,Artist,Light Solana Gradient,None,Sad,Green-orange Glasses,Light Blonde,None,Money Joint,Long Wavy Light Blonde,Hippie Necklace,Banana Pipe Light Blonde Fur,Red Puff Puff Hoodie,None,None,None,None,None,None,None,None,Ceq1sdPFPiuyiZc1dQYe1Ke17Lzu1YZmMSaAUTERSmdD,2525
13,Businessman,Lightpink,None,Black,None,White,Green Beret,Puffin,Long Wavy White,Necklace,Poker Cards White Fur,Green Shirt,Questionmark,None,Nose Piercing,None,Happy Weedy,None,None,None,wmJc9uxkE11DUYiiHxqawFfgXwu51yRQ4LHc1wCG7yA,2526
11,Artist,Blue,None,Blue,Big Solana Glasses,White,Solana Astro Helmet,Biting,Long Wavy White,None,Brownie & Joint White Fur,Green Funky Tee,Questionmark,None,None,None,None,None,None,None,3h7rxYsyntoauZRBixy6ppoDzwW1sWV46RfEuDMsyo3e,2527
11,Businessman,Blue,Solana,Angry,None,Dark Blonde,None,Angry Mouth,Yellow Beanie Dark Blonde Fur,None,None,Business Suit With Red Tie,Pin On Suit,Golden Earring,None,Yes,None,None,None,None,FyGVga9UCZfUS3rotcKQGxEoptxNNsdiQko8pppfCKmj,2528
11,Businessman,Violet,None,Awake Black,Robo Eyes,Dark Blonde,Blue Beret,Smoking Joint,Long Wavy Dark Blonde,None,None,Green Business Suit With Tie,None,None,Nose Piercing,Yes,None,None,None,None,GCGej1GBLpcMoVZN97XXQpZRT4NWkMiUn42m3mo6ohKp,2529
11,Businessman,Matrix,None,Blue,None,Red Gradient,Samo Hairband,Rainbow Teeth,Facon Style Red,Weed Chain,Metal Controller Red Fur,Beige Business Suit With Tie,None,None,None,Yes,None,None,None,None,EwU2Ldzut5zxvj1V2HE3RN5DdbrqBuh2NmRZ2CAU7uJV,2530
11,Businessman,Street Graffiti,None,Red,None,White,Green Beret,Gold Teeth,Long Wavy White,Hippie Necklace,Brownie White Fur,Red Puff Puff Hoodie,None,Golden Earring,None,None,None,None,None,None,LSfC5XHFi5DCzL8WHrZvkxBx5Ea93QfFcWr3t4WU4pi,2531
11,Farmer,Glass Pastel,None,Blue,Red John Lennon Glasses,Choc Brown,Brown Flat Cap,Rainbow Teeth,Smooth Long Chocbrown,None,None,Pink Hippie Top,Cannabis Plant,None,None,Yes,None,None,None,None,4Gao4GcE6m79P9euQfPW3Ki2MSsuJwZyrer8w9nH1aZo,2532
8,Chimpion,Solana,None,Red,None,Light Brown,None,Laughing,Blue Beanie Light Brown Fur,None,Pink Donut Light Brown Fur,Yellow Poloshirt,None,None,None,None,None,None,None,None,2V9q4SosR4JMoTRRNUPJYNknQosiL8UEu1F72MFFE67k,2533
13,Artist,Lightbrown,None,Black,Red John Lennon Glasses,White,None,Puffin,Smooth Long White,Hippie Necklace,Joint White Fur,Yellow Poloshirt With Color Splashes,Questionmark,Golden Earring,None,Yes,None,None,None,None,AnGKrahiir4eFATwjLDguJTTj2yQa29PaMpoVnCYh9jG,2534
12,Scientist,Lightpink,None,Blue,Laser Eyes,Choc Brown,None,Open,Backstreetboy Style Chocbrown,None,Joint Chocbrown Fur,Lab Coat Solana Tie Suit,Sciece Bong,None,Nose Piercing,Yes,None,None,None,None,FUwRWLXhz3WAAaSXwf35dDNB1SWWdCLqgBM2B6bZXDUR,2535
12,Chimpion,Blue Gradient,None,Black,None,Choc Brown,None,Rainbow Teeth,Long Wavy Chocbrown,None,Brownie Chocbrown Fur,Brown Hippie Top,Questionmark,Double Piercing,Nose Piercing,None,None,Blonde Moustache,None,None,BcvTqfiy6iUnkjDeLcmzq4d6iskH2Aos31XdGfw2JZB5,2536
10,Artist,Green Smoke,None,Black,Gold Monocle,Dark Blonde,None,Grinding,Blue Beanie Dark Blonde Fur,Hippie Necklace,None,Red Puff Puff Hoodie,None,None,Nose Piercing,None,None,None,None,None,6HayDe6NLtMDGgE76A4ZD2hk7RqyTc5TagsXmzrPa4hf,2537
11,Artist,Blue,Tiny Sac,Blue,None,Light Blonde,Orange Pothat,Biting,None,None,Poker Cards Light Blonde Fur,Green Poloshirt,None,Paintbrush Behind Ear,None,Yes,None,None,None,None,CWeKitYFvMoV14nni5WmzeVsCBkQbBcHMzkJfu9Qf3iz,2538
12,Artist,Blue,None,Red,Laser Eyes,Dark Blonde,None,Money Joint,Pink Beanie Dark Blonde Fur,Hippie Necklace,None,Sac Shirt,Abstract Canvas,None,None,Yes,Serious Weedy,None,None,None,3LwDC3d81iq2XVLktiKxjzwwLA6vra1n3wAA8zmAq9sj,2539
11,Chimpion,Brown Plain,None,Awake Green,None,Light Blonde,Red Beret,Biting,Long Wavy Light Blonde,None,Joint Light Blonde Fur,Blue Legalize Hoodie,Questionmark,None,None,None,Happy Weedy,None,None,None,7uPNEfF6fpy3D37kPdr1FpnttVqvBCtKatpWebjNssYZ,2540
9,Artist,Yellow,None,Red,None,Choc Brown,None,Mask Brown,Backstreetboy Style Chocbrown,Hippie Necklace,Brownie Chocbrown Fur,Blue Puff Puff Hoodie,None,None,None,None,None,None,None,None,D4Sn6cRGWK6TCvFcHkhv5mU2AJ35YHqh7prgRxKCWroJ,2541
11,Scientist,Violet,None,Red,Green Glasses,Choc Brown,None,Banana Joint,Smooth Long Chocbrown,Weed Chain,Brownie Chocbrown Fur,Just Hit It Hoodie,None,None,None,None,Weedy With Glasses,None,None,None,Diz5WsZEPyDkaR3JcwEJeWu8Jj9e1WNfUez4bvhDZRZX,2542
9,Chimpion,Light Solana Gradient,None,Red,Tear,Light Blonde,None,Banana Joint,Yellow Beanie Light Blonde Fur,None,Poker Cards Light Blonde Fur,Green Poloshirt,None,None,None,None,None,None,None,None,DKQbPqCYQWHLhW9LCEdQXpu8YsMcLA6WYB6NJb5Qqxav,2543
9,Farmer,Green Gradient,None,Black,None,Light Blonde,Dark Grey Headphones,Biting,None,None,Poker Cards Light Blonde Fur,Orange Poloshirt,None,None,None,None,None,Full Light Beard,None,None,DdPqpSSF6LiAxs88ZJC6tUrdgjAY4K1RMwNJsDofdic6,2544
10,Chimpion,Blue,None,Red,Bright Green Eyes,Rainbow,None,Rainbow Teeth,Smooth Long Rainbow,None,Metal Controller Rainbow Fur,Sac Shirt,None,Golden Earring,None,None,None,None,None,None,9oX4PTikwzN3CqcQmjqEL3d4EGFQidFX5ptivQWJD73M,2545
10,Artist,Blue,None,Red,None,Light Brown,None,Eating Pizza,Long Wavy Light Brown,Hippie Necklace,Joint Light Brown Fur,Blue Hodl Hoodie,None,None,None,None,Weedy With Glasses,None,None,None,AmxWU6wEo1JJBun3gdPLJviCN3UpuXX5jbXFNa2jf18L,2546
10,Businessman,Darkblue Gradient,None,Sad,None,Light Blonde,None,Rainbow Teeth,Yellow Beanie Light Blonde Fur,Weed Chain,Joint Light Blonde Fur,Beige Business Suit With Tie,None,None,None,Yes,None,None,None,None,5fFnKkWbpPKjQGMfWea4jeTiCcv3yyMRitpv8WktFfTD,2547
12,Businessman,Yellow,None,Awake Green,None,Light Brown,Leaves In Hair,Rainbow Teeth,Long Wavy Light Brown,None,Brownie Light Brown Fur,Business Suit With Red Tie,Pin On Suit,None,Nose Piercing,Yes,None,None,None,None,9rFouaF77UyftkqWDT7nU5VxEcWniiVNbihoeUUNUjUq,2548
11,Chimpion,Yellow,None,Black,Big Solana Glasses,White,None,Grinding,Backstreetboy Style White,Necklace,Poker Cards White Fur,Hawaiian Shirt,None,None,Nose Piercing,None,None,None,None,None,GPSc3GE4BAbdw2MGzPTtiB9kxcymPs7WrRSLiwBwV3QB,2549
13,Artist,Matrix,Always Stoned,Blue,None,Light Blonde,Red Beret,Gentle Smile,Smooth Long Light Blonde,Hippie Necklace,Pink Donut Light Blonde Fur,Violet Canna Jacket,None,Double Piercing,Nose Piercing,None,None,None,None,None,12wwwU2UNWZhXQrwbhvEgpPAGNLUazw9m67h95ah3kqd,2550
11,Chimpion,Blue Gradient,None,Red,None,Red Gradient,Samo Hairband,Sad,Facon Style Red,Weed Chain,Poker Cards Red Fur,Sac Shirt,Questionmark,None,None,None,None,None,None,None,8ui8UWNjCxMbJ2NRaHAn81poC5K7YdmGqt62u1iDUTDu,2551
11,Artist,Matrix,None,Awake Green,Flashing Eyes,Light Blonde,Blue Beret,Open,None,None,Graffiti Spray Can Blue Top Light Blonde Fur,Sac Shirt,None,None,Nose Piercing,Yes,None,None,None,None,9WqdfRkuujDzqh9VJeCY2PuFGu6c3yVtUSwfhNfd5hVc,2552
10,Chimpion,Brown Plain,None,Red,None,Dark Blonde,Solana Headphones,Grinding,Smooth Long Dark Blonde,None,None,Weed Shirt,None,None,None,None,Blue Parrot,Full Light Beard,None,None,BPud8VVxFfr4FGpr4QSgqQeQwYMFbASVSRNvfmQ8rAzS,2553
8,Artist,Hippie 1,None,Awake Green,None,White,None,Eating Fries,None,None,Joint White Fur,Yellow Poloshirt With Color Splashes,None,None,None,Yes,None,None,None,None,5VpFLiZKYsR2iVqd4Sj34GPf3VPifUAxoGUASG5zXqwj,2554
